category,title,url,publish_date,issuing_authority,legal_hierarchy,effective_date,source,timeliness,document_no,subject_tags
立法资料,工业和信息化部科技司关于公开征求《5G移动通信网智能网络数据分析(NWDA)总体技术要求(第三阶段)》等20项通信行业标准报批意见的公示,https://www.pkulaw.com/protocol/f33bc749842e988edc3a8b7847dcf803bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.18,工业和信息化部,部门工作文件,,browser,,,
法律动态,2026年人工智能技术赋能网络安全应用测试结果发布,https://www.pkulaw.com/news/a6e60786431ab8d6bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.17,国家互联网应急中心CNCERT,,,browser,,,
法律动态,网安标委发布《人工智能应用安全指引总则》等4项网络安全标准实践指南,https://www.pkulaw.com/news/a0361d6bcae7b9e9bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.17,全国网络安全标准化技术委员会,,,browser,,,
中央法规,中国互联网协会关于召开“2026(第三届)集团企业数智化技术创新与生态大会”的通知,https://www.pkulaw.com/chl/4e8798b53610d11fbdfb.html,2026.09.16,其他机构；协会；中国互联网协会,行业规定,2026.09.16,mcp,现行有效,,邮政电讯；互联网；企业；企业集团；机关工作；会议差旅；科技；科技综合规定与体改；新技术企业
法律动态,《人工智能安全治理框架3.0》发布,https://www.pkulaw.com/news/529d2bc25594c3b7bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.15,全国网络安全标准化技术委员会,,,browser,,,
法律动态,APEC人工智能高级别论坛关于促进亚太地区人工智能发展的声明,https://www.pkulaw.com/news/6fa26e7180a34776bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.15,中国网信网,,,browser,,,
法律动态,智能网联新能源汽车产业发展“十五五”规划,https://www.pkulaw.com/news/e30a99e7e0b0a087bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.14,工信部,,,browser,,,
法律动态,工信部印发《“人工智能+软件”专项行动实施方案》,https://www.pkulaw.com/news/cf82a0ea2e61d081bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.14,工信部,,,browser,,,
法律动态,商务部消费促进司负责人解读《促进智能家居消费行动方案》,https://www.pkulaw.com/news/740db4f162082088bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.14,商务部,部门工作文件,,browser,,,
中央法规,中国互联网协会关于开展2026年“人工智能+”应用案例征集活动的通知,https://www.pkulaw.com/chl/f4cef998322580a3bdfb.html,2026.09.14,其他机构；协会；中国互联网协会,行业规定,2026.09.14,mcp,现行有效,,邮政电讯；互联网；机关工作；机关工作综合规定；科技；科技企业；企业；新技术企业；科技综合规定与体改
中央法规,中证指数有限公司关于发布中证港股通人工智能应用指数的补充公告,https://www.pkulaw.com/chl/75efbaece43bf556bdfb.html,2026.09.14,其他机构；其他；各公司(其他)；中证指数有限公司,行业规定,2026.09.14,mcp,现行有效,,证券；证券交易；证券信息公开；证券监督管理机构与市场监管；证券交易所与业务管理；科技；科技综合规定与体改；股票
中央法规,上海证券交易所关于中国国际金融股份有限公司为天弘中证人工智能主题交易型开放式指数证券投资基金提供主做市服务的公告,https://www.pkulaw.com/chl/94285ad4288c4568bdfb.html,2026.09.14,其他机构；其他；各公司(其他)；上海证券交易所,行业规定,2026.09.14,mcp,现行有效,上证公告(基金)【2026】2867号,证券；证券交易所与业务管理；证券服务机构与业务管理；基金；证券交易；证券信息公开；证券公司与业务管理
地方法规,深圳市应急委办关于印发《2026年深圳市第一届“深小应”应急安全AI创意大赛工作方案》的通知,https://www.pkulaw.com/lar/4bc581c3cd55d32c93d6ea6229ca0b90bdfb.html,2026.09.14,广东省；深圳市其他机构；深圳市突发事件应急委员会,地方工作文件,2026.09.14,mcp,现行有效,,体育；竞赛制度；机关工作；机关工作综合规定；劳动工会；劳动安全与劳动保护；公安；消防管理；科技；科学研究与科技项目
中央法规,深圳证券交易所关于易方达创业板算力基础设施交易型开放式指数证券投资基金上市交易的公告,https://www.pkulaw.com/chl/ad61b139e334fc25bdfb.html,2026.09.14,其他机构；其他；各公司(其他)；深圳证券交易所,行业规定,2026.09.14,mcp,现行有效,,证券；证券交易所与业务管理；证券交易；证券信息公开；基金；证券交易的一般规定；股票
法律动态,江西通信管理局部署“人工智能+信息通信”创新发展专项行动,https://www.pkulaw.com/news/7094580aeffd1418bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.12,江西通信管理局部,,,browser,,,
法律动态,商务部新闻发言人就美发布中国人工智能企业对美蒸馏活动相关网络安全公告答记者问,https://www.pkulaw.com/news/4296c8e4e42aa628bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.11,商务部,,,browser,,,
法律动态,《顾客联络服务 人工与智能客户服务协同要求》实施AI与人工客服流转规则有“标”可依,https://www.pkulaw.com/news/542c0d5add0aff48bdfb.html?keyword=%E6%99%BA%E8%83%BD&way=listView,2026.09.11,国家市场监管总局,,,browser,,,
立法资料,工业和信息化部科技司关于公开征求《面向车联网应用的算力网络安全指南》等89项通信行业标准报批意见的公示,https://www.pkulaw.com/protocol/a6eb9aa80d677fb050000fe5a24d6bd8bdfb.html?keyword=%E7%AE%97%E5%8A%9B&way=listView,2026.09.11,工业和信息化部,部门工作文件,,browser,,,
