category,title,url,publish_date,issuing_authority,legal_hierarchy,effective_date
中央法规,中证指数有限公司关于发布中证港股通人工智能应用指数的公告,https://www.pkulaw.com/chl/9c3abea53d9fd918bdfb.html,2026.09.11,中证指数有限公司,行业规定,2026.09.11
地方法规,天津市交通运输委员会关于印发《天津市“人工智能+交通运输”行动方案》的通知,https://www.pkulaw.com/lar/ba30f56661d125e49e42d879e3f69919bdfb.html,2026.09.10,天津市交通运输委员会,地方工作文件,2026.09.10
中央法规,工业和信息化部等九部门关于印发《智能网联新能源汽车产业发展“十五五”规划》的通知,https://www.pkulaw.com/chl/9f7aea42ae2025cdbdfb.html,2026.09.09,国家互联网信息办公室,部门规章；部门工作文件,2026.09.09
中央法规,交通运输部海事局关于发布《全国客船危险品船智能监控管理系统数据对接规范2.0》的通告(2026修订),https://www.pkulaw.com/chl/7808016cd88cc75abdfb.html,2026.09.09,中华人民共和国海事局,部门规章；部门工作文件,2026.09.09
地方法规,河北省工业和信息化厅关于公布先进级智能工厂的通知,https://www.pkulaw.com/lar/6809386798e6a981a654329fc6be9e56bdfb.html,2026.09.09,河北省工业和信息化厅,地方工作文件,2026.09.09
地方法规,内蒙古自治区公共资源交易中心关于上线水利工程项目工程量清单智能辅助评审功能的通知,https://www.pkulaw.com/lar/ca2149a5d8781e9a2290558ef38b2c71bdfb.html,2026.09.09,内蒙古自治区公共资源交易管理服务中心,地方工作文件,2026.09.09
地方法规,拉萨市科学技术局、拉萨市自然资源局、尼木县自然资源和林业草原局关于发布琼穆岗嘎冰川智能监测系统及示范应用“揭榜挂帅”制项目榜单的通知,https://www.pkulaw.com/lar/32b108cdd2124aeb5b3c69687abd27a8bdfb.html,2026.09.09,尼木县其他机构,地方工作文件,2026.09.09
地方法规,珠海市民政局关于同意珠海市智能家居装备产业创新联合促进会变更登记的批复,https://www.pkulaw.com/lar/d30f750f30bfaf04b1546ca45f2ef8a7bdfb.html,2026.09.08,珠海市民政局,地方工作文件,2026.09.08
地方法规,南平市生态环境局关于批复康明克斯(福建)机电设备有限公司高端智能装备建设项目环境影响报告表的函,https://www.pkulaw.com/lar/6a300e9be5c4ea3927b34bf45407c761bdfb.html,2026.09.08,南平市生态环境局,地方工作文件,2026.09.08
中央法规,最高人民法院关于依法审理涉人工智能纠纷案件的意见,https://www.pkulaw.com/chl/088a22e2f79e99f5bdfb.html,2026.09.07,最高人民法院,司法解释；司法解释性质文件,2026.09.07
地方法规,唐山市工业和信息化局关于公布唐山市中小企业数字化转型试点城市第八批试点企业的通知,https://www.pkulaw.com/lar/8b09b8fef25c5b44c15a9fb153f4cdc1bdfb.html,2026.09.07,唐山市工业和信息化局,地方工作文件,2026.09.07
中央法规,中国劳动关系学院2026年研究生AI课程建设购买制作服务项目竞争性磋商公告,https://www.pkulaw.com/chl/7f236d2b405d19f4bdfb.html,2026.09.04,中国劳动关系学院,团体规定,2026.09.04
地方法规,广州市发展和改革委员会关于图灵新智运科技(广州)有限公司推理算力中心建设项目节能报告的审查意见,https://www.pkulaw.com/lar/443ca117e23dd8f814da061567954f36bdfb.html,2026.09.04,广州市发展和改革委员会,地方工作文件,2026.09.04
地方法规,上海市市场监督管理局关于批准上海市智能网联汽车及应用标准化技术委员会换届的公告,https://www.pkulaw.com/lar/0e6744329996bb70af3346e0fce883afbdfb.html,2026.09.03,上海市市场监督管理局,地方工作文件,2026.09.03
中央法规,商务部等8部门关于印发《促进智能家居消费行动方案》的通知,https://www.pkulaw.com/chl/5f9596d06b3e7591bdfb.html,2026.09.02,国家市场监督管理总局,部门规章；部门工作文件,2026.09.02
中央法规,工业和信息化部关于印发《“人工智能+软件”专项行动实施方案》的通知,https://www.pkulaw.com/chl/d0d010c1855a8f2cbdfb.html,2026.09.02,工业和信息化部,部门规章；部门工作文件,2026.09.02
中央法规,中证指数有限公司关于发布中证人工智能应用软件臻选指数等4条指数的公告,https://www.pkulaw.com/chl/3c3e64600f8aa994bdfb.html,2026.09.01,中证指数有限公司,行业规定,2026.09.01
中央法规,上海证券交易所、中证指数有限公司关于发布上证科创板人工智能应用臻选指数的公告,https://www.pkulaw.com/chl/b2d1725dee60ba12bdfb.html,2026.09.01,中证指数有限公司,行业规定,2026.09.01
中央法规,上海证券交易所关于长江证券股份有限公司终止为易方达上证科创板人工智能交易型开放式指数证券投资基金提供主做市服务的公告,https://www.pkulaw.com/chl/3b32c0abceb4a544bdfb.html,2026.09.01,上海证券交易所,行业规定,2026.09.01
中央法规,中华人民共和国工业和信息化部、住房和城乡建设部、交通运输部、农业农村部、国家能源局公告2026年第24号——关于公布智能光伏典型案例公告名单的公告,https://www.pkulaw.com/chl/bff751c70a6fa48ebdfb.html,2026.09.01,国家能源局,部门规章；部门工作文件,2026.09.01
地方法规,福建省住房和城乡建设厅关于公布住建领域人工智能应用场景解决方案(第一批)的通知,https://www.pkulaw.com/lar/86ef4c244b43218998385c7525acb52dbdfb.html,2026.09.01,福建省住房和城乡建设厅,地方工作文件,2026.09.01
地方法规,广东省科学技术厅关于组织申报2027年度广东省重点领域研发计划“人工智能”专项项目的通知,https://www.pkulaw.com/lar/ec455f930d59a37a509f63434bd4f04abdfb.html,2026.09.01,广东省科学技术厅,地方工作文件,2026.09.01
地方法规,惠州市工业和信息化局关于公布惠州市省级中小企业数字化转型城市试点第六批数字化产品清单的通知,https://www.pkulaw.com/lar/21556c26547b73c0ca836515e1fbd0b9bdfb.html,2026.09.01,惠州市工业和信息化局,地方工作文件,2026.09.01
地方法规,深圳律师使用人工智能(AI)辅助执业操作指引(2026)(试行),https://www.pkulaw.com/lar/823ce607c89a731f750a395352c4d135bdfb.html,2026.09.01,深圳市律师协会,地方规范性文件,2026.08.13
中央法规,国家互联网信息办公室关于发布生成式人工智能服务已备案信息的公告(2026年7月至8月),https://www.pkulaw.com/chl/61f9e277f99ca221bdfb.html,2026.09,国家互联网信息办公室,部门规章；部门工作文件,2026.09
中央法规,促进数字化绿色化协同转型发展实施方案(2026―2030年),https://www.pkulaw.com/chl/52463fcb508a1519bdfb.html,2026.09,商务部,部门规章；部门工作文件,2026.09
